Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
1;B;non;72;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"340CJAFX; 3500BDFX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"340102MQ;A; 42004AFX;B; 42005AFX;C; 42006AFX;C; 510C01FX;C; 601102MQ;E"
1;B;non;74,88;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;RP;oui;non;601CJBFX;"109C01FX;E; 201103RE;E; 340CJCFX;E; 42014DFX;B; 42016DFX;C; 601103MQ;E; 604C1EFX;D"
1;B;non;76,04;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"340CJBFX; 42004AFX; 42007BFX; 42016BFX; 601CJBFX";aucune donnée
2;B;non;83,38;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"340CJCFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601CJBFX";aucune donnée
4;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"340102IN; 42007EFX; 42008DFX; 42014CFX; 42016DFX";"340102MQ;Aucun résultat; 340CJAFX;Aucun résultat; 42005CFX;Aucun résultat; 42006EFX;D; 42008CFX;Aucun résultat; 42014CFX;Aucun résultat"
3;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42007EFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601102MQ";"340101MQ;E; 42005CFX;E; 42006EFX;D; 42008CFX;E; 42014CFX;E"
4;B;non;71,92;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;oui;non;42012YFX;"42002FFX;D; 42007EFX;E; 42012YFX;E"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"340101MQ; 42004AFX; 42005AFX; 42006AFX";aucune donnée
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109B22FX; 340CJLFX; 3500BDFX; 42005BFX; 42006CFX; 42014BFX; 601102MQ";aucune donnée
3;B;non;61,04;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42002FFX; 42012YFX";"3500BDFX;C; 42008DFX;C; 42014DFX;D; 42015DFX;C; 601103MQ;D"
3;B;non;71,79;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"42004AFX; 42005AFX";aucune donnée
1;B;non;70,85;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42007EFX; 42012YFX";"332C01FX;E; 42006EFX;D; 42014DFX;A; 42015DFX;C"
1;B;non;63,26;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;42008EFX;"109C01FX;B; 340CJBFX;D; 381CJCFX;D; 42014DFX;E; 42015DFX;D"
4;B;non;72;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;oui;CC;non;non;"109A01FX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;69,17;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C08FX; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601103MQ";"109A13FX;C; 340102MQ;D; 42005BFX;C; 42007BFX;B; 42014BFX;B; 42016BFX;C; 601102MQ;D; 604C2GFX;C"
1;A;non;72,27;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005BFX;A; 42008CFX;A; 42014CFX;C"
1;A;non;76,8;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42006EFX; 42007EFX; 42008EFX; 42016DFX";"109C04FX;E; 201203RE;D; 3500BDFX;B; 42014DFX;C; 42015DFX;D; 604C2GFX;C"
3;B;non;64,76;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;CC;non;non;"109A01FX; 201SH4RE; 340101MQ; 42004AFX; 42005AFX; 601R13FX";"415GE9FX;B"
1;B;non;67,08;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;oui;CC;oui;non;"42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;A;non;78,15;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42002FFX; 42012YFX";"340CJVFX;C; 3500BDFX;C; 42006EFX;C; 42007EFX;C; 42014DFX;D; 601103MQ;E"
1;A;non;83,93;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 340CJAFX; 3500BDFX; 42008DFX; 42014DFX; 42015DFX";"340102MQ;E; 42008CFX;E; 42014DFX;E; 42015DFX;E"
2;B;non;83,88;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201203RE; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"201103RE;D; 42005CFX;D; 42006CFX;D; 42014CFX;E; 601102MQ;D"
2;B;non;74,57;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C01FX; 42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;B; 42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C; 604C3DFX;C"
1;B;non;76,86;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"340CJVFX; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601CJVFX";"201103RE;D; 42005BFX;A; 42007BFX;C; 42014BFX;C; 42016BFX;B"
3;B;non;80,87;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201NYA05; 340102MQ; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";aucune donnée
1;B;non;82,8;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"332C01FX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601CJVFX";"3500BDFX;A; 42005CFX;B; 42006CFX;C; 42008CFX;A; 42014CFX;B; 604C2GFX;B"
1;B;non;68,58;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"3500BDFX; 42005CFX; 42006CFX; 42008CFX; 42014CFX";"42004AFX;C; 42006AFX;D; 42007BFX;E; 42016BFX;E"
2;B;non;75,67;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201SH4RE; 340102MQ; 42006AFX; 42007BFX";aucune donnée
2;B;non;54,3;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"3500BDFX; 42014DFX; 42015DFX; 42016DFX";"3500BDFX;Aucun résultat; 42008DFX;C; 42014DFX;Aucun résultat; 42015DFX;Aucun résultat; 42016DFX;Aucun résultat"
1;B;non;75,08;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"340CJCFX; 3500BDFX; 42008DFX; 42016DFX";"201103RE;D; 42005CFX;C; 42008CFX;A; 42014CFX;C; 601103MQ;D"
3;B;non;47,44;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;oui;"340101MQ; 42004AFX; 42005AFX; 42006AFX";"109A01FX;Aucun résultat; 340101MQ;Aucun résultat; 42004AFX;Aucun résultat; 42005AFX;Aucun résultat; 42006AFX;Aucun résultat; 601101MQ;Aucun résultat; 604102MQ;Aucun résultat"
1;B;non;57,93;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;non;CC;non;oui;"3500BDFX; 370CJA03; 42006EFX; 530CJA03; 601103MQ";"332C01FX;E; 42005CFX;D; 42006CFX;C; 42008CFX;B; 42014CFX;D; 604C1EFX;D"
1;B;non;78,91;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42015DFX";"42005CFX;D; 42014CFX;D; 42016DFX;C"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42005CFX; 42008CFX; 42014CFX; 601102MQ; 604C2GFX";"340101MQ;C; 42004AFX;A; 42005AFX;A; 601R13FX;C; 604102MQ;C"
5;I;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"201105RE;E; 340102MQ;E; 42005BFX;E; 42014BFX;E; 601103IN;E"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109C08FX; 42006EFX; 42007EFX; 42008EFX; 42014EFX";"109A13FX;B; 3500BDFX;A; 42005CFX;B; 42006CFX;B; 42008CFX;A; 42014CFX;B"
